cuce,categoria,prioridad,rol,ficha_url,ficha_descargada,pdf_descargado,fuente_pdf,observaciones
26-0046-38-1660991-1-1,software_salud,alta,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-0046-38-1660991-1-1,no,no,,Diseno e implementacion de sistema integrado de gestion clinica; candidato principal para mejora semantica.
26-0903-17-1669546-1-1,reactivos,alta,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-0903-17-1669546-1-1,no,no,,Reactivos e insumos para anatomia patologica; vocabulario tecnico rico esperado en ficha/PDF.
26-0902-21-1669603-1-1,reactivos,alta,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-0902-21-1669603-1-1,no,no,,Reactivos para contador hematologico; buen caso para discriminacion tecnica.
26-1101-04-1669617-1-1,reactivos,alta,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1101-04-1669617-1-1,no,no,,Reactivos hospitalarios para laboratorio clinico; posible mejora por detalle de insumo y uso SUS.
26-1101-04-1669637-1-1,medicamentos,alta,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1101-04-1669637-1-1,no,no,,Amoxicilina de uso hospitalario; caso farmacologico especifico.
26-1219-00-1669640-1-1,medicamentos,alta,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1219-00-1669640-1-1,no,no,,Medicamentos e insumos para centro de salud; compra general para comparar contra casos mas especificos.
26-1206-00-1669479-1-1,infraestructura,alta,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1206-00-1669479-1-1,no,no,,Mantenimiento alcantarillado sanitario y pluvial con cemento; fuerte candidato a enriquecimiento documental.
26-1201-00-1668159-1-1,infraestructura,alta,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1201-00-1668159-1-1,no,no,,Construccion alcantarillado pluvial y obras complementarias; anchor del grupo de obras.
26-1201-00-1669153-1-1,infraestructura,media,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1201-00-1669153-1-1,no,no,,Reconstruccion de alcantarillado pluvial; complementa el caso de La Paz.
26-1519-00-1669672-1-1,infraestructura,media,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1519-00-1669672-1-1,no,no,,Mantenimiento de vias urbanas con cemento; util para comparar contra alcantarillado y obras urbanas.
26-1705-00-1669336-1-1,reactivos,media,hard_negative,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1705-00-1669336-1-1,no,no,,Competidor cercano de reactivos hospitalarios; sirve para evaluar discriminacion.
26-1701-00-1668542-1-1,medicamentos,media,hard_negative,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1701-00-1668542-1-1,no,no,,Competidor de medicamentos hospitalarios; posible falso positivo recurrente.
26-1701-00-1668743-1-1,medicamentos,media,hard_negative,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1701-00-1668743-1-1,no,no,,Competidor cercano dentro del mismo dominio hospitalario.
26-1701-00-1668778-1-1,medicamentos,media,hard_negative,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1701-00-1668778-1-1,no,no,,Competidor cercano de hemodialisis y medicamentos hospitalarios.
26-0389-00-1669576-1-1,rescate_equipamiento,media,relevante,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-0389-00-1669576-1-1,no,no,,Equipos y herramientas para rescate en aeronaves e incendios; caso tecnico fuera del dominio salud.
26-1519-00-1669618-1-1,bienes_administrativos,media,hard_negative,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=26-1519-00-1669618-1-1,no,no,,Caso de papel y equipamiento administrativo; util para evitar confusiones con consultas tecnicas.
